;Turnover 
bal.82;303,1
geg.82;297,8
bir?.82;298
liep.82;307,9
rugp.82;299,2
rugs.82;305,4
spal.82;318
lapkr.82;334,4
gruod.82;389,6
saus.83;311,4
vas.83;327,2
kov.83;350,9
bal.83;323,4
geg.83;316,6
bir?.83;325,4
liep.83;323,1
rugp.83;338,1
rugs.83;330,6
spal.83;351,1
lapkr.83;361,5
gruod.83;430,9
saus.84;333,2
vas.84;343,3
kov.84;344,8
bal.84;345,9
geg.84;352
bir?.84;348,9
liep.84;348,6
rugp.84;374,6
rugs.84;345,7
spal.84;373,5
lapkr.84;378,7
gruod.84;432,6
saus.85;376,4
vas.85;352
kov.85;371,8
bal.85;366,6
geg.85;391
bir?.85;369,4
liep.85;423,8
rugp.85;401,9
rugs.85;388,6
spal.85;420
lapkr.85;422,5
gruod.85;481,3
saus.86;420,7
vas.86;392,9
kov.86;419,4
bal.86;415
geg.86;440
bir?.86;418,8
liep.86;451,9
rugp.86;446,2
rugs.86;444,3
spal.86;458,6
lapkr.86;454,7
gruod.86;528,1
saus.87;466,4
vas.87;430,5
kov.87;447,7
bal.87;455,5
geg.87;459,8
bir?.87;443,2
liep.87;460,1
rugp.87;463,6
rugs.87;459,8
spal.87;478,9
lapkr.87;478,7
gruod.87;565,4
saus.88;479,2
vas.88;467,2
kov.88;501,1
bal.88;484,6
geg.88;481,2
bir?.88;482,9
liep.88;479,2
rugp.88;494,5
rugs.88;508,6
spal.88;509,2
lapkr.88;535,8
gruod.88;627,7
saus.89;507,8
vas.89;503,2
kov.89;578,3
bal.89;546,5
geg.89;540,7
bir?.89;546,9
liep.89;549,5
rugp.89;570,1
rugs.89;575,8
spal.89;556,1
lapkr.89;586,8
gruod.89;702
saus.90;563,1
vas.90;558,2
kov.90;608,8
bal.90;570,2
geg.90;596,2
bir?.90;605,4
liep.90;594,8
rugp.90;644,1
rugs.90;604,4
spal.90;630,1
lapkr.90;665,7
gruod.90;737,9
saus.91;677,9
vas.91;617,3
kov.91;672,3
bal.91;623,1
geg.91;666,9
bir?.91;621,1
liep.91;657,7
rugp.91;711
rugs.91;639,2
spal.91;696,7
lapkr.91;701,9
gruod.91;772,1
saus.92;707,9
vas.92;676,2
kov.92;697,3
bal.92;720,2
geg.92;713
bir?.92;688,4
liep.92;738,3
rugp.92;721,4
rugs.92;714,2
spal.92;757,5
lapkr.92;716,2
gruod.92;832,8
saus.93;734,9
vas.93;710,8
kov.93;754,8
bal.93;755,9
geg.93;752,9
bir?.93;730,6
liep.93;747,1
rugp.93;724,5
rugs.93;744,4
spal.93;767,2
lapkr.93;763,6
gruod.93;889,4
saus.94;765,8
vas.94;736,4
kov.94;810,5
bal.94;756
geg.94;770,8
bir?.94;782
liep.94;801,3
rugp.94;806,7
rugs.94;812,8
spal.94;818,7
lapkr.94;808,4
gruod.94;943,4
saus.95;792
vas.95;755
kov.95;838
bal.95;819,9
geg.95;834,8
bir?.95;832,8
liep.95;838,6
rugp.95;878,3
rugs.95;846,4
spal.95;885,5
lapkr.95;905,7
gruod.95;1020,8
saus.96;884,2
vas.96;878,2
kov.96;910,9
bal.96;882,4
geg.96;936,1
bir?.96;888,1
liep.96;914,4
rugp.96;952,1
rugs.96;905
spal.96;958,9
lapkr.96;965,9
gruod.96;1040,8
saus.97;978,6
vas.97;899,6
kov.97;986,3
bal.97;928,1
geg.97;985,3
bir?.97;909,8
liep.97;960,6
rugp.97;972
rugs.97;946,9
spal.97;1022,6
lapkr.97;1001,1
gruod.97;1115
saus.98;1039,1
vas.98;940,6
kov.98;1003,8
bal.98;995,6
geg.98;1006,6
bir?.98;962,9
liep.98;1007,7
rugp.98;1003,3
rugs.98;999,1
spal.98;1109,4
lapkr.98;1041,8
gruod.98;1186,6
saus.99;1104,6
vas.99;1001
kov.99;1108,9
bal.99;1043,4
geg.99;1060,1
bir?.99;1029,5
liep.99;1080,8
rugp.99;1058,5
rugs.99;1074,3
spal.99;1125,5
lapkr.99;1095,8
gruod.99;1269,4
saus.00;1130,1
vas.00;1072,7
kov.00;1145,4
bal.00;1099,2
geg.00;1099,9
bir?.00;1090,3
liep.00;1108,6
rugp.00;1154,3
rugs.00;1146,6
spal.00;1179,7
lapkr.00;1176,8
gruod.00;1347,3
01.saus;1200,8
01.vas;1123,9
01.kov;1241,5
01.bal;1208,6
01.geg;1246,4
bir?.01;1211,1
01.liep;1220,1
01.rugp;1274
01.rugs;1249,7
01.spal;1300,1
01.lapkr;1313,9
01.gruod;1433,8
02.saus;1353,9
02.vas;1215,4
02.kov;1350,8
02.bal;1272,7
02.geg;1337,3
bir?.02;1257,2
02.liep;1266,6
02.rugp;1324,9
02.rugs;1262
02.spal;1375,9
02.lapkr;1369,5
02.gruod;1484
03.saus;1420,9
03.vas;1286,8
03.kov;1400,3
03.bal;1355,7
03.geg;1399,6
bir?.03;1286
03.liep;1376,2
03.rugp;1383
03.rugs;1359,6
03.spal;1461,5
03.lapkr;1435,1
03.gruod;1595,3
04.saus;1533,8
04.vas;1413,3
04.kov;1472,1
04.bal;1469,1
04.geg;1475,3
bir?.04;1412,5
04.liep;1508,5
04.rugp;1476,3
04.rugs;1490,9
04.spal;1542,3
04.lapkr;1513,4
04.gruod;1717,9
05.saus;1535,2
05.vas;1416,9
05.kov;1555,3
05.bal;1481,8
05.geg;1473
bir?.05;1452
05.liep;1546,2
05.rugp;1553,4
05.rugs;1545,8
05.spal;1593,8
05.lapkr;1558,3
05.gruod;1776,1
06.saus;1585,2
06.vas;1480,1
06.kov;1635,1
06.bal;1582,7
06.geg;1572,3
bir?.06;1557,4
06.liep;1591,7
06.rugp;1636
06.rugs;1614,7
06.spal;1677
06.lapkr;1683,8
06.gruod;1873
07.saus;1684,4
07.vas;1557,4
07.kov;1740,8
07.bal;1649,9
07.geg;1678
bir?.07;1642
07.liep;1695,7
07.rugp;1762,9
07.rugs;1740,8
07.spal;1853,8
07.lapkr;1897,1
07.gruod;2054,7
